Ranks,Majors,School Types,Early Pay,Mid Career Pay,High Meaning
409,Philosophy,Bachelors,43800,85600,55%
412,Architectural,Bachelors,47700,85400,60%
413,Textile,Bachelors,50000,85200,43%
413,Interpersonal,Bachelors,42400,85200,56%
415,Geographic,Bachelors,50000,85100,52%
416,Business,Bachelors,51700,85000,51%
417,Linguistics,Bachelors,52100,84900,43%
418,French,Bachelors,49600,84800,47%
419,Communication,Bachelors,48000,84700,45%
419,Neuroscience,Bachelors,51800,84700,58%
421,Business,Bachelors,46800,84600,57%
421,Journalism,Bachelors,46300,84600,44%
423,Accounting,Bachelors,55500,84500,52%
424,Sociology,Bachelors,53500,84300,57%
425,Crop,Bachelors,48700,84200,60%
425,French,Bachelors,52400,84200,57%
425,Writing,Bachelors,44200,84200,42%
425,Nursing,Bachelors,65000,84200,83%
429,History,Bachelors,47800,84100,46%
430,Biology,Bachelors,47100,84000,65%
430,Land,Bachelors,51900,84000,54%
432,Architectural,Bachelors,46700,83900,61%
432,Health,Bachelors,44400,83900,74%
432,Integrated,Bachelors,47000,83900,36%
435,Agriculture,Bachelors,47700,83800,61%
436,Digital,Bachelors,50000,83600,40%
436,Marketing,Bachelors,49300,83600,44%
436,Organizational,Bachelors,46400,83600,49%
439,Visual,Bachelors,48100,83400,38%
440,Public,Bachelors,45700,83300,47%
440,General,Bachelors,51200,83300,55%
442,Foreign,Bachelors,48400,83100,52%
442,Retail,Bachelors,50900,83100,31%
444,Agribusiness,Bachelors,47700,83000,46%
444,Global,Bachelors,55800,83000,31%
444,Professional,Bachelors,48500,83000,44%
447,Computer,Bachelors,40400,82900,31%
447,Environmental,Bachelors,50200,82900,62%
447,Environmental,Bachelors,48500,82900,59%
447,Journalism,Bachelors,45900,82900,44%
447,Travel,Bachelors,52600,82900,-
452,International,Bachelors,47700,82800,64%
452,Natural,Bachelors,45100,82800,55%
452,Retail,Bachelors,51800,82800,32%
452,Literature,Bachelors,46800,82800,47%
456,Bachelor,Bachelors,64000,82700,81%
456,History,Bachelors,50600,82700,50%
456,Museum,Bachelors,38900,82700,50%
459,Computer,Bachelors,49400,82600,-
459,Dental,Bachelors,72700,82600,80%
459,Law,Bachelors,54300,82600,53%
459,Network,Bachelors,59800,82600,57%
463,Media,Bachelors,50700,82400,38%
464,Environmental,Bachelors,50200,82300,52%
465,Law,Bachelors,46700,82200,60%
466,Nuclear,Bachelors,60300,81900,81%
466,Bachelor,Bachelors,63800,81900,83%
468,Computer,Bachelors,46800,81800,36%
468,Landscape,Bachelors,51500,81800,65%
468,Publishing,Bachelors,46300,81800,39%
471,Interior,Bachelors,47600,81500,45%
472,Diagnostic,Bachelors,64300,81400,86%
472,Environmental,Bachelors,52400,81400,65%
472,Public,Bachelors,45600,81400,42%
472,Workforce,Bachelors,59900,81400,80%
476,American,Bachelors,50900,81300,52%
477,Drama,Bachelors,47400,81100,47%
478,Management,Bachelors,47000,81000,62%
479,Merchandising,Bachelors,46800,80900,38%
480,Environmental,Bachelors,45000,80800,70%
481,Accounting,Bachelors,52400,80700,48%
482,Automotive,Bachelors,48800,80500,32%
482,Speech,Bachelors,46700,80500,54%
484,Allied,Bachelors,44800,80400,78%
485,Agricultural,Bachelors,60500,80300,-
485,Emergency,Bachelors,50900,80300,80%
485,Network,Bachelors,48700,80300,56%
488,Communication,Bachelors,46000,80200,38%
489,Historic,Bachelors,43400,80000,-
490,Broadcast,Bachelors,42900,79900,50%
490,Broadcast,Bachelors,42800,79900,43%
492,Automotive,Bachelors,48100,79800,47%
492,Business,Bachelors,51400,79800,53%
494,Agricultural,Bachelors,52700,79700,51%
494,Technology,Bachelors,56400,79700,47%
496,Global,Bachelors,51200,79600,46%
496,Professional,Bachelors,42800,79600,62%
498,Interpersonal,Bachelors,45000,79500,53%
499,Forestry,Bachelors,45900,79400,67%
499,Homeland,Bachelors,49200,79400,72%
501,Ancient,Bachelors,46000,79300,-
501,Botany,Bachelors,42600,79300,73%
501,Geography,Bachelors,49700,79300,52%
504,Computer,Bachelors,48700,79200,-
504,Nutrition,Bachelors,49500,79200,70%
506,Acting,Bachelors,44200,79100,50%
506,Public,Bachelors,50200,79100,66%
508,Nuclear,Bachelors,61700,79000,82%
509,Apparel,Bachelors,48300,78900,37%
509,English,Bachelors,46400,78900,44%
509,Urban,Bachelors,51500,78900,57%
512,Mass,Bachelors,44800,78800,44%
513,Forestry,Bachelors,48600,78700,71%
513,Radio,Bachelors,45700,78700,39%
515,Hospital,Bachelors,53200,78600,45%
516,Human,Bachelors,47900,78500,55%
517,Marine,Bachelors,46100,78400,64%
518,American,Bachelors,43100,78300,87%
518,English,Bachelors,45700,78300,49%
518,English,Bachelors,44600,78300,45%
521,Cytotechnology,Bachelors,61900,78200,89%
521,Geosciences,Bachelors,48700,78200,62%
521,Hospital,Bachelors,51200,78200,57%
524,Film,Bachelors,44600,78100,33%
524,Marine,Bachelors,43300,78100,66%
526,Zoology,Bachelors,42100,77900,67%
527,Communication,Bachelors,51700,77800,34%
528,Leadership,Bachelors,47200,77500,57%
528,Music,Bachelors,44800,77500,39%
528,Musicology,Bachelors,40000,77500,-
528,Technical,Bachelors,53300,77500,42%
532,Agricultural,Bachelors,44600,77400,52%
532,Logistics,Bachelors,56300,77400,49%
534,German,Bachelors,49400,77300,47%
535,Administration,Bachelors,44600,77100,58%
535,Apparel,Bachelors,47600,77100,35%
535,Computer,Bachelors,49100,77100,52%
535,Organizational,Bachelors,49600,77100,51%
535,Printing,Bachelors,46200,77100,-
535,Spanish,Bachelors,47700,77100,51%
541,Multimedia,Bachelors,44700,77000,45%
542,Spanish,Bachelors,45500,76900,73%
542,Public,Bachelors,46700,76900,57%
542,Human,Bachelors,48600,76900,85%
545,Audio,Bachelors,48300,76800,39%
545,Graphics,Bachelors,39500,76800,38%
545,Physical,Bachelors,52900,76800,51%
548,Organizational,Bachelors,50500,76700,58%
549,Environmental,Bachelors,53800,76600,61%
549,Health,Bachelors,44600,76600,70%
551,Journalism,Bachelors,45200,76500,48%
552,Religious,Bachelors,43900,76300,55%
553,Art,Bachelors,46600,76200,45%
553,Radiologic,Bachelors,57600,76200,81%
555,3D,Bachelors,51800,76000,42%
556,Culture,Bachelors,48100,75900,40%
556,Merchandising,Bachelors,53100,75900,31%
558,Administrative,Bachelors,52700,75800,50%
558,Human,Bachelors,47300,75800,56%
558,Liberal,Bachelors,44500,75800,53%
561,Adult,Bachelors,48700,75600,79%
561,Fashion,Bachelors,46900,75600,29%
561,Health,Bachelors,39800,75600,67%
564,Natural,Bachelors,47400,75500,64%
564,Organizational,Bachelors,48800,75500,57%
566,Modern,Bachelors,50300,75400,53%
566,Natural,Bachelors,46500,75400,60%
566,Retail,Bachelors,50100,75400,35%
566,Sociology,Bachelors,44500,75400,50%
570,Creative,Bachelors,45300,75200,41%
571,Criminal,Bachelors,45700,75100,56%
572,Ethnic,Bachelors,47500,74900,63%
572,Philosophy,Bachelors,49300,74900,61%
572,Radiology,Bachelors,54800,74900,80%
575,Medical,Bachelors,56900,74400,82%
575,Sports,Bachelors,45400,74400,43%
577,Anthropology,Bachelors,48000,74300,-
577,Broadcast,Bachelors,40000,74300,44%
577,Criminology,Bachelors,44700,74300,54%
577,Earth,Bachelors,50000,74300,48%
577,Media,Bachelors,45200,74300,43%
577,Visual,Bachelors,45400,74300,38%
583,Advertising,Bachelors,46800,74200,37%
583,Applied,Bachelors,38700,74200,81%
583,Psychology,Bachelors,44700,74200,56%
586,Applied,Bachelors,45500,74100,53%
586,Hotel,Bachelors,47300,74100,48%
588,Anthropology,Bachelors,46400,73900,46%
589,Arts,Bachelors,39400,73800,48%
589,Diagnostic,Bachelors,60600,73800,73%
591,Communication,Bachelors,42400,73600,39%
591,Middle,Bachelors,57100,73600,48%
591,Radiologic,Bachelors,55200,73600,83%
591,Painting,Bachelors,34700,73600,41%
595,Cardiopulmonary,Bachelors,48900,73400,90%
595,Human,Bachelors,45000,73400,63%
597,Humanities,Bachelors,48500,73200,49%
598,Health,Bachelors,45800,73100,69%
599,Health,Bachelors,46700,73000,72%
599,Life,Bachelors,53100,73000,64%
601,Ecology,Bachelors,46400,72900,57%
601,Media,Bachelors,46500,72900,34%
603,Respiratory,Bachelors,54800,72800,84%
604,Art,Bachelors,45100,72700,38%
604,Health,Bachelors,49000,72700,69%
604,Hospitality,Bachelors,46400,72700,43%
607,Health,Bachelors,37900,72600,46%
607,Sports,Bachelors,50100,72600,77%
607,Multimedia,Bachelors,50200,72600,34%
610,Sociology,Bachelors,46200,72500,55%
611,Liberal,Bachelors,44300,72400,56%
612,Interior,Bachelors,45100,72300,50%
612,Medical,Bachelors,55600,72300,85%
612,Secondary,Bachelors,44600,72300,59%
615,Child,Bachelors,38900,72200,64%
615,Exercise,Bachelors,44100,72200,76%
615,Radiography,Bachelors,55300,72200,85%
618,Archaeology,Bachelors,45900,72100,46%
618,Art,Bachelors,40200,72100,56%
618,Hotel,Bachelors,44300,72100,49%
618,Illustration,Bachelors,45200,72100,36%
622,Arts,Bachelors,45700,71900,-
622,Health,Bachelors,44200,71900,73%
622,Turfgrass,Bachelors,53100,71900,51%
625,Animal,Bachelors,44200,71800,55%
626,SocialStudies,Bachelors,45800,71700,57%
